epoch,split,loss_recon_orig,loss_recon_flip,loss_recon_total,loss_contrastive,loss_total
1,train,3.0970462857621337,3.0343243597249074,6.13137065590202,0.0,6.13137065590202
1,val,2.9773053144508936,2.891548459259969,5.8688537624647035,0.0,5.8688537624647035
2,train,2.894340149486501,2.8709141070896225,5.765254249820462,0.0,5.765254249820462
2,val,2.820384478793954,3.0968104004859924,5.917194888276874,0.0,5.917194888276874
3,train,2.8123995858071966,2.8498666114762092,5.6622662020686665,0.0,5.6622662020686665
3,val,2.7936831015460895,2.7895604788132435,5.583243567988558,0.0,5.583243567988558
4,train,2.7890774136873175,2.808804195915231,5.597881619454556,0.0,5.597881619454556
4,val,2.778074709874279,2.7910922079716087,5.5691669099735766,0.0,5.5691669099735766
5,train,2.778190063050956,2.784010955547076,5.56220100283482,0.0,5.56220100283482
5,val,2.7714436560306908,2.7771956785669865,5.548639333473061,0.0,5.548639333473061
6,train,2.898221011707887,2.781544502116432,5.679765507631628,0.0,5.679765507631628
6,val,2.8859349320519647,2.775135295571021,5.661070250115305,0.0,5.661070250115305
7,train,2.8137605516800774,2.7740481060257767,5.587808669246777,0.0,5.587808669246777
7,val,2.8041881030460574,2.7761349914208897,5.580323100090027,0.0,5.580323100090027
8,train,2.785104443922797,2.7705997308845927,5.5557041798741365,0.0,5.5557041798741365
8,val,2.776087356063555,2.7652830706452423,5.541370427833413,0.0,5.541370427833413
9,train,2.776064574648104,2.7664073076552174,5.542471877799547,0.0,5.542471877799547
9,val,2.77011864590195,2.7622298654520288,5.532348533846298,0.0,5.532348533846298
10,train,2.774400655888329,2.795485651619741,5.569886318486021,0.0,5.569886318486021
10,val,2.766358437403193,2.764648340783029,5.531006790556997,0.0,5.531006790556997
11,train,2.770336886927257,2.766817998998703,5.537154877762868,0.0,5.537154877762868
11,val,2.7646144752232535,2.760964556685034,5.5255790476529105,0.0,5.5255790476529105
12,train,2.76961349540224,2.7654656378690863,5.535079138619559,0.0,5.535079138619559
12,val,2.762898026772265,2.7573903652856933,5.520288386434879,0.0,5.520288386434879
13,train,2.7678899365304632,2.762196247524185,5.530086187432479,0.0,5.530086187432479
13,val,2.762813145259641,2.758994371261237,5.5218075153962625,0.0,5.5218075153962625
14,train,2.767466422658603,2.7615092453737047,5.528975672536082,0.0,5.528975672536082
14,val,2.7619135312314302,2.757695343134538,5.519608861995193,0.0,5.519608861995193
15,train,2.7634111644244954,2.760062491879694,5.523473646733668,0.0,5.523473646733668
15,val,2.761356436981345,2.757822612546525,5.519179051777102,0.0,5.519179051777102
16,train,2.761789819566531,2.7679235822616812,5.529713394791064,0.0,5.529713394791064
16,val,2.756955186151109,2.7569287756703935,5.513883961821502,0.0,5.513883961821502
17,train,2.7579227310144634,2.7574826525403306,5.515405377362104,0.0,5.515405377362104
17,val,2.7556180796533263,2.754421410695562,5.510039491473504,0.0,5.510039491473504
18,train,2.758487741949989,2.7544723305820433,5.512960060146652,0.0,5.512960060146652
18,val,2.7582777806048124,2.7526692691838965,5.510947058785637,0.0,5.510947058785637
19,train,2.757472307088102,2.7544314416549844,5.51190374986903,0.0,5.51190374986903
19,val,2.753173588581805,2.750232331033023,5.503405917365596,0.0,5.503405917365596
20,train,2.7550924277502644,2.7538017860691832,5.508894218886194,0.0,5.508894218886194
20,val,2.7513037593859546,2.750954362581361,5.502258118593468,0.0,5.502258118593468
21,train,2.754793238893169,2.7534366993864707,5.508229936309238,0.0,5.508229936309238
21,val,2.7500535170986966,2.7497766681437223,5.499830189740883,0.0,5.499830189740883
22,train,2.7532830882945056,2.7519432957929593,5.505226387465296,0.0,5.505226387465296
22,val,2.750449352669266,2.750955969657538,5.501405331323731,0.0,5.501405331323731
23,train,2.7521117901717616,2.75139152736281,5.503503317534571,0.0,5.503503317534571
23,val,2.748174541401413,2.746886668340215,5.495061222112404,0.0,5.495061222112404
24,train,2.7508490316420264,2.7552644041099685,5.5061134301222765,0.0,5.5061134301222765
24,val,2.749434956964457,2.74843726855404,5.497872228892344,0.0,5.497872228892344
25,train,2.760887509112938,2.7517765936350456,5.5126641024664975,0.0,5.5126641024664975
25,val,2.7497035523630537,2.746820372230602,5.496523913347496,0.0,5.496523913347496
26,train,2.7528944108393287,2.750361680421525,5.503256091823825,0.0,5.503256091823825
26,val,2.747381627559662,2.7464586575076266,5.493840276070361,0.0,5.493840276070361
27,train,2.751182086070848,2.7504433347033217,5.5016254235890285,0.0,5.5016254235890285
27,val,2.7465874935096166,2.744989292801551,5.491576802055791,0.0,5.491576802055791
28,train,2.7508784359433154,2.74955816927598,5.500436607752668,0.0,5.500436607752668
28,val,2.7486937956989936,2.7481169813084154,5.496810793876648,0.0,5.496810793876648
29,train,2.749162101970794,2.7497796818103812,5.498941795322098,0.0,5.498941795322098
29,val,2.7441519386363478,2.743984584538442,5.4881365254240215,0.0,5.4881365254240215
30,train,2.748514440856267,2.7478355967308863,5.4963500423724145,0.0,5.4963500423724145
30,val,2.7457635335202486,2.744659033586394,5.490422572729723,0.0,5.490422572729723
31,train,2.7483815465654646,2.7480274234780735,5.496408968636109,0.0,5.496408968636109
31,val,2.7455018916220033,2.744914505841597,5.4904163963389845,0.0,5.4904163963389845
32,train,2.748645164609096,2.7481228314436876,5.496767993237924,0.0,5.496767993237924
32,val,2.742514136827217,2.7421916858205257,5.484705810276967,0.0,5.484705810276967
33,train,2.750641002283468,2.748013741291681,5.498654750612297,0.0,5.498654750612297
33,val,2.743916131415457,2.743586480617523,5.487502613157596,0.0,5.487502613157596
34,train,2.749577092730309,2.7568844797478937,5.506461551648244,0.0,5.506461551648244
34,val,2.7448637564227267,2.7483148349905915,5.4931785992856295,0.0,5.4931785992856295
35,train,2.747844084938977,2.7494557655406533,5.497299850198145,0.0,5.497299850198145
35,val,2.743979866774577,2.7440450483897947,5.488024927535147,0.0,5.488024927535147
36,train,2.7479716262119296,2.7474967535440022,5.495468385667136,0.0,5.495468385667136
36,val,2.7443174179994836,2.7445170721917784,5.488834468823559,0.0,5.488834468823559
37,train,2.750535598189659,2.7480754798812597,5.498611073567144,0.0,5.498611073567144
37,val,2.7444664554775886,2.741804136420196,5.48627059864548,0.0,5.48627059864548
38,train,2.748640747531949,2.748083149809764,5.496723904097376,0.0,5.496723904097376
38,val,2.7448421323074483,2.7434477659891234,5.488289905044268,0.0,5.488289905044268
39,train,2.747023184718883,2.7465605386736263,5.493583724799938,0.0,5.493583724799938
39,val,2.7411093801822304,2.7407256556007096,5.481835030159861,0.0,5.481835030159861
40,train,2.7470967158798345,2.7467509019754854,5.4938476178553195,0.0,5.4938476178553195
40,val,2.7430399847480484,2.7430676266832172,5.486107608057418,0.0,5.486107608057418
41,train,2.7452311256841053,2.7456402049576942,5.49087133542706,0.0,5.49087133542706
41,val,2.7435637903663346,2.7439740041516862,5.487537791144173,0.0,5.487537791144173
42,train,2.7456728165096207,2.745417636006613,5.4910904339381625,0.0,5.4910904339381625
42,val,2.7460765355038195,2.7413843690224415,5.487460925893964,0.0,5.487460925893964
43,train,2.747204238999692,2.7461605333803396,5.493364765905856,0.0,5.493364765905856
43,val,2.741565027326908,2.741448509243299,5.483013535445592,0.0,5.483013535445592
44,train,2.7463701832533727,2.7460443720203926,5.49241455837011,0.0,5.49241455837011
44,val,2.744910285157977,2.7445511098177926,5.489461408471161,0.0,5.489461408471161
45,train,2.745671693099291,2.7444365739540904,5.490108269868241,0.0,5.490108269868241
45,val,2.744867373187587,2.7426599286637217,5.487527305225156,0.0,5.487527305225156
46,train,2.744135886465926,2.743728321023646,5.4878642117118615,0.0,5.4878642117118615
46,val,2.743679734895814,2.7428023500262566,5.48648209616823,0.0,5.48648209616823
47,train,2.7448609466395104,2.7444219825681575,5.489282922733492,0.0,5.489282922733492
47,val,2.7399500046136245,2.7390695248010024,5.479019531663859,0.0,5.479019531663859
48,train,2.7463117642273165,2.746055390786956,5.492367159518047,0.0,5.492367159518047
48,val,2.7418624106443152,2.742076664600732,5.483939080868128,0.0,5.483939080868128
49,train,2.74502110424965,2.74430355721691,5.489324660340617,0.0,5.489324660340617
49,val,2.741827944539628,2.7421303234010375,5.4839582690652815,0.0,5.4839582690652815
50,train,2.744305201657688,2.744063328964792,5.488368528652079,0.0,5.488368528652079
50,val,2.7426217310833483,2.7418323001771605,5.484454035758972,0.0,5.484454035758972
